Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4440000000.0,31.73,151.98,-0.012,99945.0,17.92
CALM,"Cal-Maine Foods, Inc",Consumer Defensive,Farm Products,USA,3760000000.0,3.33,78.93,0.0242,466789.0,6.48
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,366520000.0,17.16,19.89,-0.0058,192890.0,20.92
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,31740000000.0,20.67,32.95,-0.0131,4969535.0,20.78
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,71570000000.0,38.69,178.99,-0.0123,1282839.0,24.66
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,4540000000.0,20.62,24.55,-0.019,1304678.0,-7.23
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9710000000.0,21.36,139.09,-0.0095,330172.0,21.96
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5530000000.0,17.78,99.09,-0.0286,330088.0,21.0
IDT,IDT Corp,Communication Services,Telecom Services,USA,1210000000.0,14.84,48.26,-0.0001,77454.0,17.76
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,7590000000.0,15.14,327.99,-0.0002,83056.0,33.84
KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,13830000000.0,6.78,72.78,-0.0124,322370.0,-1.99
LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,19510000000.0,12.15,161.59,-0.017,1115554.0,10.51
MANH,"Manhattan Associates, Inc",Technology,Software - Application,USA,7920000000.0,36.75,132.41,-0.0496,345994.0,10.19
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2780530000000.0,23.43,374.45,-0.0223,30162657.0,23.31
NVO,Novo Nordisk ADR,Healthcare,Drug Manufacturers - General,Denmark,125150000000.0,10.71,37.15,0.0088,11170250.0,5.28
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,5860000000.0,25.58,108.76,-0.055,364173.0,14.12
PPC,Pilgrim's Pride Corp,Consumer Defensive,Packaged Foods,USA,8350000000.0,7.74,35.15,0.0051,346866.0,6.58
PRI,Primerica Inc,Financial,Insurance - Life,USA,7960000000.0,10.97,251.53,0.0066,66919.0,20.45
PTC,PTC Inc,Technology,Software - Application,USA,17180000000.0,21.09,144.41,-0.0323,731015.0,16.64
QLYS,Qualys Inc,Technology,Software - Infrastructure,USA,3310000000.0,17.03,92.75,-0.0472,421726.0,14.71
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,57270000000.0,31.98,323.06,-0.018500000000000003,407630.0,24.1
RLI,RLI Corp,Financial,Insurance - Property & Casualty,USA,5350000000.0,13.32,58.17,0.009000000000000001,193388.0,9.24
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25710000000.0,49.13,53.44,0.0043,1525139.0,17.63
SITC,SITE Centers Corp,Real Estate,REIT - Retail,USA,285660000.0,1.63,5.45,-0.0154,486738.0,4.65
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1830000000.0,12.01,40.98,0.0139,240924.0,14.88
V,Visa Inc,Financial,Credit Services,USA,581740000000.0,28.92,305.21,0.0025,3420744.0,15.99
