Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4450000000.0,31.82,152.42,-0.024,181450.0,17.76
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,4520000000.0,20.54,24.47,-0.0253,1121577.0,-7.2
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5800000000.0,18.66,104.03,-0.0378,399969.0,21.64
MANH,"Manhattan Associates, Inc",Technology,Software - Application,USA,8080000000.0,37.49,135.07,-0.0326,335228.0,9.1
NVO,Novo Nordisk ADR,Healthcare,Drug Manufacturers - General,Denmark,126140000000.0,10.8,37.44,-0.0048,15988324.0,5.75
OSPN,OneSpan Inc,Technology,Software - Infrastructure,USA,416020000.0,7.42,10.94,-0.0378,382045.0,-1.77
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,5720000000.0,24.97,106.16,-0.0574,440953.0,14.06
QLYS,Qualys Inc,Technology,Software - Infrastructure,USA,3300000000.0,17.0,92.58,-0.011699999999999999,320702.0,13.43
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,2150000000.0,11.99,46.09,0.0017000000000000001,381015.0,18.45
V,Visa Inc,Financial,Credit Services,USA,605070000000.0,30.08,317.45,0.0024,3795971.0,16.36
