Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Base_Discount_Rate,Discount_Rate,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4360000000.0,31.22,148.6999969482422,0.025699999999999997,280350.0,16.98,-151.48,-27.47,35.11,59.129259031013696,116.65597984614651,229.17148441436024,3.6850000000000005,0.2845243994955844,0.92,10.5,10.0,9.74649846111923
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,358740000.0,16.77,19.450000762939453,-0.0077,86899.0,30.87,66.96,82.27,90.47,58.876533512374515,109.73162207753997,204.09826585089547,3.4349999999999996,0.18196301419934224,1.0,10.5,9.5,2.063229474353177
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,31490000000.0,20.51,32.64500045776367,0.008,4641653.0,20.21,-67.68,-10.95,26.85,19.46883051832541,29.423755243688426,44.62730395239895,1.3399999999999999,0.12057146804226226,1.0,10.0,9.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,67110000000.0,35.49,168.8249969482422,0.0159,1855397.0,23.36,-201.28,-81.44,-9.08,56.03673741658094,93.04843105817838,154.77474440185694,3.52,0.14743716965949782,1.0,10.0,9.0,1.9486964599203103
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9870000000.0,21.72,141.1699981689453,0.0174,204103.0,21.33,-192.82,-192.82,-192.82,48.21054394119713,48.21054394119713,48.21054394119713,4.965,-0.031673869134370536,1.0,10.0,9.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5420000000.0,17.43,97.34500122070312,0.0254,269005.0,20.11,-82.47,-26.28,12.94,53.34771189120618,77.08481937484027,111.8117762384702,3.835,0.10774057687965066,1.0,10.0,9.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1220000000.0,14.93,48.665000915527344,0.024,92843.0,16.7,-40.9,28.97,63.98,34.53859474271735,68.51177211437277,135.11577845587146,2.06,0.4296939859130209,0.92,10.0,9.5,8.728170063841336
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,7800000000.0,15.56,336.875,0.029900000000000003,140327.0,33.81,-29.63,34.65,66.86,259.87777597675677,515.5011979479501,1016.6478476048587,15.5,0.4654010132131128,0.92,10.0,9.5,67.38759802618927
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2662790000000.0,22.44,357.0,0.0051,27558797.0,21.99,-137.28,-56.68,-3.03,150.45789580501992,227.8497327054051,346.48617051961037,10.74,0.12226568954799855,1.0,10.5,9.5,21.6744637390638
PRI,Primerica Inc,Financial,Insurance - Life,USA,7880000000.0,10.85,248.71499633789062,0.0109,84361.0,20.23,-10.06,44.22,71.6,225.98689331832807,445.84902473762986,875.8735125158059,14.825,0.2391756401380145,0.874,10.0,10.0,61.80440333587851
PTC,PTC Inc,Technology,Software - Application,USA,16520000000.0,20.28,138.75999450683594,0.009000000000000001,437652.0,15.35,-238.72,-72.62,11.78,40.96646735143882,80.38248469549191,157.29151489792406,2.885,0.3232467390277567,0.85,10.5,10.5,0.0
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,58260000000.0,32.53,328.25,0.0355,525830.0,23.66,-145.06,-24.21,36.77,133.94864885793913,264.2669828383002,519.1543272675023,7.680000000000001,0.20743402271078204,1.0,11.0,10.0,6.663587250814041
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25500000000.0,48.72,52.97999954223633,0.0103,1602792.0,17.22,-311.53,-163.14,-67.5,12.873860817449101,20.133952802565876,31.629684597039216,0.925,0.13271785112236145,1.0,11.0,10.0,0.0
TXRH,Texas Roadhouse Inc,Consumer Cyclical,Restaurants,USA,10700000000.0,26.62,162.44000244140625,0.0129,447682.0,15.56,-104.38,-21.44,28.07,79.47871235781398,133.76660780329237,225.81836193656724,5.32,0.1539308283214187,1.0,11.0,10.0,14.392109101552201
V,Visa Inc,Financial,Credit Services,USA,571360000000.0,28.41,299.7699890136719,0.0144,4396931.0,15.11,-119.12,-38.47,12.75,136.80498283371546,216.4947507727366,343.59520585491924,9.004999999999999,0.13370669304847693,1.0,10.0,9.0,0.0
