Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4310000000.0,30.82,147.64,-0.0052,74997.0,17.41
CALM,"Cal-Maine Foods, Inc",Consumer Defensive,Farm Products,USA,3710000000.0,3.29,77.89,-0.0415,473886.0,7.7
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,360300000.0,16.87,78.23,0.0053,21448.0,19.47
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,31580000000.0,20.57,32.78,0.008100000000000001,2725763.0,20.26
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,72800000000.0,39.35,182.04,0.0012,775125.0,24.47
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,4550000000.0,20.69,24.64,-0.0064,567703.0,-7.31
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9710000000.0,21.36,139.09,0.001,136815.0,21.21
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5550000000.0,17.86,99.57,-0.014199999999999999,79283.0,20.81
IDT,IDT Corp,Communication Services,Telecom Services,USA,1190000000.0,14.6,47.5,-0.006,27414.0,17.87
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,7660000000.0,15.27,330.77,0.0124,86016.0,33.79
KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,13880000000.0,6.81,73.05,0.0005,242332.0,-2.09
LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,19780000000.0,12.32,163.87,-0.0102,1091686.0,10.62
MANH,"Manhattan Associates, Inc",Technology,Software - Application,USA,8279999999.999999,38.42,138.43,-0.009899999999999999,121234.0,9.6
NVO,Novo Nordisk ADR,Healthcare,Drug Manufacturers - General,Denmark,123330000000.0,10.56,36.6,-0.0128,12793006.0,5.13
PLMR,Palomar Holdings Inc,Financial,Insurance - Property & Casualty,USA,3120000000.0,16.26,116.77,0.0054,74773.0,19.85
PPC,Pilgrim's Pride Corp,Consumer Defensive,Packaged Foods,USA,8439999999.999999,7.82,35.51,-0.0043,111745.0,6.82
PRI,Primerica Inc,Financial,Insurance - Life,USA,7740000000.0,10.66,244.48,-0.0103,46383.0,20.16
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,56260000000.0,31.41,317.33,-0.0115,442647.0,23.62
RLI,RLI Corp,Financial,Insurance - Property & Casualty,USA,5370000000.0,13.39,58.44,0.006,220449.0,9.43
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25740000000.0,49.18,53.49,-0.011000000000000001,695992.0,17.69
SITC,SITE Centers Corp,Real Estate,REIT - Retail,USA,286660000.0,1.63,5.46,-0.004699999999999999,309773.0,4.65
SMID,Smith-Midland Corp,Basic Materials,Building Materials,USA,145110000.0,12.35,27.35,-0.0062,3419.0,26.43
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1850000000.0,12.12,41.34,-0.032799999999999996,117049.0,15.16
V,Visa Inc,Financial,Credit Services,USA,573280000000.0,28.5,300.77,0.0034999999999999996,3091884.0,15.99
