Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,39440000000.0,11.9,432.4200134277344,-0.0123,449977.0,19.05,-25.73,7.57,32.41,343.9371242335214,467.86011471077,639.800894601005,30.375,0.09411381840681132,1.0,56.392656322516395
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4340000000.0,31.02,147.74000549316406,-0.009300000000000001,159892.0,17.55,-172.13,-39.45,28.45,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,74170000000.0,40.09,185.44000244140625,-0.0381,2301604.0,25.23,-291.15,-139.84,-46.28,47.4093039891739,77.31755754875371,126.77282536776585,3.52,0.14743716965949782,1.0,1.9397995471523022
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9660000000.0,21.25,138.84500122070312,-0.0137,322870.0,21.34,-233.16,-233.16,-233.16,41.67575586674017,41.67575586674017,41.67575586674017,4.965,-0.031673869134370536,1.0,7.767935759295766
IDT,IDT Corp,Communication Services,Telecom Services,USA,1190000000.0,14.53,47.32500076293945,-0.0151,110890.0,17.73,-55.93,20.09,59.0,30.35000540814487,59.225144747113745,115.4300324381853,2.06,0.4296939859130209,0.92,8.779014078857648
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8070000000.0,16.1,348.30999755859375,-0.0199,124680.0,34.93,-52.53,21.84,59.9,228.36169117778908,445.6260891166324,868.5269431028505,15.5,0.4654010132131128,0.92,67.38759802618927
PLMR,Palomar Holdings Inc,Financial,Insurance - Property & Casualty,USA,3100000000.0,16.18,117.25,-0.0241,197431.0,20.15,-126.38,-16.01,40.48,51.79374471891755,101.07055951791504,196.98690503018184,3.805,0.5254193884425031,0.85,26.425520363720224
PRI,Primerica Inc,Financial,Insurance - Life,USA,7910000000.0,10.89,248.48500061035156,-0.011699999999999999,98745.0,20.31,-19.75,38.63,68.51,207.49606245968945,404.90880210299184,789.1687958015979,14.825,0.2391756401380145,0.874,61.80440333587851
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,58700000000.0,32.78,330.4800109863281,-0.0159,449465.0,24.09,-168.71,-37.7,29.35,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.706227234578856
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25940000000.0,49.56,53.915000915527344,-0.0346,1432816.0,18.2,-354.1,-192.8,-87.68,11.872950937861203,18.41369958288502,28.72775971128352,0.925,0.13271785112236145,1.0,0.0
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1960000000.0,12.81,43.5,-0.0276,437553.0,15.92,-44.8,-38.54,-32.51,30.04133361908681,31.399346016746623,32.82649122297984,3.425,0.014029884092318312,1.0,11.510276254729845
V,Visa Inc,Financial,Credit Services,USA,570600000000.0,28.37,299.0050048828125,-0.029500000000000002,5071239.0,16.19,-157.86,-65.7,-5.85,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
