Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,DCF_Margin_of_Safety_%
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,5040000000.0,36.46,171.13,-0.014199999999999999,19193.0,21.28,-63.09
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,39220000000.0,24.85,40.52,-0.0246,833091.0,25.78,20.94
CRVL,Corvel Corp,Financial,Insurance Brokers,USA,3550000000.0,34.11,69.21,-0.020499999999999997,10136.0,16.55,-50.34
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,76910000000.0,41.57,192.34,-0.008,161690.0,25.85,-56.33
IDT,IDT Corp,Communication Services,Telecom Services,USA,1200000000.0,14.91,47.98,-0.0006,11752.0,20.67,25.21
NFLX,Netflix Inc,Communication Services,Entertainment,USA,356090000000.0,33.37,84.34,-0.0159,10791829.0,24.72,-6.79
PAYC,Paycom Software Inc,Technology,Software - Application,USA,8130000000.000001,17.97,144.54,-0.019799999999999998,104980.0,16.98,49.37
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,7740000000.0,35.65,142.4,-0.0215,27450.0,16.3,37.31
PGR,Progressive Corp,Financial,Insurance - Property & Casualty,USA,121520000000.0,11.36,207.23,-0.0037,454670.0,24.57,50.12
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,59720000000.0,33.9,335.64,-0.0141,95121.0,24.88,-12.89
V,Visa Inc,Financial,Credit Services,USA,624690000000.0,32.34,326.68,-0.0055000000000000005,1399845.0,16.83,-18.94
