Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
ADSK,Autodesk Inc,Technology,Software - Application,USA,46830000000.0,42.89,220.91000366210938,0.0104,2203997.0,15.5,-276.27,-92.82,1.07,58.711054151192855,114.56903000837292,223.29547537192636,3.9850000000000003,0.317267512016699,0.92,0.0
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,34150000000.0,22.13,35.279998779296875,-0.0023,11849578.0,22.31,-113.4,-43.42,4.2,16.532102616886647,24.599713421561752,36.82580146109112,1.3399999999999999,0.12057146804226226,1.0,7.112615517052889
CRAI,CRA International Inc,Industrials,Consulting Services,USA,1030000000.0,18.87,156.9600067138672,-0.011699999999999999,126622.0,24.89,-160.9,-105.63,-61.41,60.16087157962483,76.33307738467994,97.24269877935414,5.68,0.07338238706999878,1.0,13.501631887641928
FTNT,Fortinet Inc,Technology,Software - Infrastructure,USA,55940000000.0,31.0,75.2300033569336,-0.0049,10048121.0,29.54,-174.53,-40.68,27.82,27.403402941334676,53.475130693995894,104.22323317234203,1.8599999999999999,0.3167495145145989,0.92,1.9644352420355817
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5680000000.0,18.25,101.75,0.0060999999999999995,1257621.0,20.83,-124.21,-57.39,-9.85,45.38212933947962,64.64703564030904,92.62699396966345,3.835,0.10774057687965066,1.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1230000000.0,15.29,49.18000030517578,0.001,101440.0,19.9,-62.04,16.96,57.39,30.35000540814487,59.225144747113745,115.4300324381853,2.06,0.4296939859130209,0.92,8.729173652005853
NFLX,Netflix Inc,Communication Services,Entertainment,USA,329500000000.0,30.88,78.04000091552734,0.026600000000000002,32196716.0,23.33,-232.51,-70.4,12.57,23.469688648143094,45.798861933083586,89.2621561524413,1.593,0.36489469824866827,0.92,0.0
PRI,Primerica Inc,Financial,Insurance - Life,USA,8070000000.0,11.03,252.8699951171875,-0.0008,169731.0,21.09,-21.87,37.55,67.96,207.49606245968945,404.90880210299184,789.1687958015979,14.825,0.2391756401380145,0.874,56.62456006864758
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,12060000000.0,28.45,24.940000534057617,0.0319,11909849.0,23.16,-419.43,-193.41,-50.54,4.801418220499705,8.500020774174196,16.566572827768255,0.32,0.40705861783419106,0.85,4.801418220499705
V,Visa Inc,Financial,Credit Services,USA,585560000000.0,29.11,307.2200012207031,0.0023,9116015.0,16.34,-164.94,-70.25,-8.76,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
