Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Base_Discount_Rate,Discount_Rate,Floor_Value
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,32159999999.999996,20.94,33.375,0.0028000000000000004,1770015.0,20.23,-71.43,-13.43,25.21,19.46883051832541,29.423755243688426,44.62730395239895,1.3399999999999999,0.12057146804226226,1.0,10.0,9.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,70100000000.0,36.97,175.42999267578125,-0.0053,506958.0,24.08,-213.28,-88.67,-13.43,55.99693859739303,92.98234552475635,154.66481915725336,3.5175,0.14743716965949782,1.0,10.0,9.0,1.9484276373316582
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,26030000000.0,49.65,54.04999923706055,-0.014499999999999999,698195.0,17.84,-319.84,-168.45,-70.88,12.873860817449101,20.133952802565876,31.629684597039216,0.925,0.13271785112236145,1.0,11.0,10.0,0.0
TXRH,Texas Roadhouse Inc,Consumer Cyclical,Restaurants,USA,10820000000.0,26.92,164.27999877929688,-0.001,223160.0,16.25,-106.7,-22.81,27.25,79.47871235781398,133.76660780329237,225.81836193656724,5.32,0.1539308283214187,1.0,11.0,10.0,14.440341390223717
V,Visa Inc,Financial,Credit Services,USA,597570000000.0,29.71,314.0729064941406,0.0069,1623368.0,15.16,-129.58,-45.07,8.59,136.80498283371546,216.4947507727366,343.59520585491924,9.004999999999999,0.13370669304847693,1.0,10.0,9.0,0.0
