Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Base_Discount_Rate,Discount_Rate,Floor_Value
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,378080000.0,17.67,20.420000076293945,0.0337,105675.0,20.18,65.32,81.39,90.0,58.876533512374515,109.73162207753997,204.09826585089547,3.4349999999999996,0.18196301419934224,1.0,10.5,9.5,2.063229474353177
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,32090000000.000004,20.9,33.220001220703125,0.0033,2267549.0,20.64,-70.63,-12.9,25.56,19.46883051832541,29.423755243688426,44.62730395239895,1.3399999999999999,0.12057146804226226,1.0,10.0,9.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,68629999999.99999,36.3,172.49000549316406,0.0177,984893.0,23.77,-207.82,-85.38,-11.45,56.03673741658094,93.04843105817838,154.77474440185694,3.52,0.14743716965949782,1.0,10.0,9.0,1.9486964599203103
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,10020000000.0,22.06,142.7899932861328,-0.0001,292629.0,21.8,-196.18,-196.18,-196.18,48.21054394119713,48.21054394119713,48.21054394119713,4.965,-0.031673869134370536,1.0,10.0,9.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5470000000.0,17.6,97.88999938964844,-0.0128,161431.0,20.69,-83.49,-26.99,12.45,53.34771189120618,77.08481937484027,111.8117762384702,3.835,0.10774057687965066,1.0,10.0,9.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1240000000.0,15.21,49.470001220703125,0.0075,34411.0,17.4,-43.23,27.79,63.39,34.53859474271735,68.51177211437277,135.11577845587146,2.06,0.4296939859130209,0.92,10.0,9.5,8.728170063841336
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8039999999.999999,16.03,344.92999267578125,0.016200000000000003,97855.0,34.39,-32.73,33.09,66.07,259.87777597675677,515.5011979479501,1016.6478476048587,15.5,0.4654010132131128,0.92,10.0,9.5,67.38759802618927
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2757060000000.0,23.23,371.2699890136719,0.003,16034773.0,22.47,-146.76,-62.95,-7.15,150.45789580501992,227.8497327054051,346.48617051961037,10.74,0.12226568954799855,1.0,10.5,9.5,21.6744637390638
PLMR,Palomar Holdings Inc,Financial,Insurance - Property & Casualty,USA,3140000000.0,16.37,117.80000305175781,-0.0161,69941.0,20.19,-108.83,-5.85,46.12,56.4092991626028,111.28977724541305,218.62954205272374,3.805,0.5254193884425031,0.85,10.0,10.0,26.425520363720224
PTC,PTC Inc,Technology,Software - Application,USA,17010000000.000002,20.88,143.0,0.0032,339578.0,15.88,-249.07,-77.9,9.09,40.96646735143882,80.38248469549191,157.29151489792406,2.885,0.3232467390277567,0.85,10.5,10.5,0.0
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25950000000.0,49.59,53.959999084472656,0.009899999999999999,1697923.0,17.46,-319.14,-168.0,-70.6,12.873860817449101,20.133952802565876,31.629684597039216,0.925,0.13271785112236145,1.0,11.0,10.0,0.0
V,Visa Inc,Financial,Credit Services,USA,572750000000.0,28.48,299.7900085449219,-0.0058,4257394.0,15.34,-119.14,-38.47,12.75,136.80498283371546,216.4947507727366,343.59520585491924,9.004999999999999,0.13370669304847693,1.0,10.0,9.0,0.0
