Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,378080000.0,17.67,20.49,0.0337,105675.0,20.18
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,32090000000.000004,20.9,33.31,0.0033,2267549.0,20.64
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,68629999999.99999,36.3,172.14,0.0177,984893.0,23.77
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,4300000000.0,19.53,23.26,-0.0017000000000000001,1572979.0,-7.89
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,10020000000.0,22.06,143.61,-0.0001,292629.0,21.8
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5470000000.0,17.6,98.12,-0.0128,161431.0,20.69
IDT,IDT Corp,Communication Services,Telecom Services,USA,1240000000.0,15.21,49.47,0.0075,34411.0,17.4
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8039999999.999999,16.03,347.18,0.016200000000000003,97855.0,34.39
KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,13980000000.0,6.86,73.58,-0.0066,242189.0,-1.94
MANH,"Manhattan Associates, Inc",Technology,Software - Application,USA,8070000000.0,37.44,134.89,0.013300000000000001,201370.0,9.02
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2757060000000.0,23.23,371.29,0.003,16034773.0,22.47
NVO,Novo Nordisk ADR,Healthcare,Drug Manufacturers - General,Denmark,123600000000.0,10.58,36.69,-0.0018,17416947.0,5.2
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,5730000000.0,25.03,106.4,-0.0152,233426.0,12.11
PLMR,Palomar Holdings Inc,Financial,Insurance - Property & Casualty,USA,3140000000.0,16.37,117.58,-0.0161,69941.0,20.19
PTC,PTC Inc,Technology,Software - Application,USA,17010000000.000002,20.88,142.95,0.0032,339578.0,15.88
QLYS,Qualys Inc,Technology,Software - Infrastructure,USA,3110000000.0,15.99,87.07,-0.0088,291861.0,12.94
RLI,RLI Corp,Financial,Insurance - Property & Casualty,USA,5260000000.0,13.1,57.19,0.0026,216598.0,9.17
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25950000000.0,49.59,53.94,0.009899999999999999,1697923.0,17.46
SITC,SITE Centers Corp,Real Estate,REIT - Retail,USA,279370000.0,1.59,5.32,-0.0139,258945.0,4.01
V,Visa Inc,Financial,Credit Services,USA,572750000000.0,28.48,300.49,-0.0058,4257394.0,15.34
