Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Base_Discount_Rate,Discount_Rate,Floor_Value
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,373320000.0,17.45,20.3799991607666,0.0207,71143.0,20.18,65.39,81.43,90.01,58.876533512374515,109.73162207753997,204.09826585089547,3.4349999999999996,0.18196301419934224,1.0,10.5,9.5,2.063229474353177
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,32189999999.999996,20.96,33.415000915527344,0.006500000000000001,1472971.0,20.64,-71.63,-13.56,25.12,19.46883051832541,29.423755243688426,44.62730395239895,1.3399999999999999,0.12057146804226226,1.0,10.0,9.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,67959999999.99999,35.94,170.8000030517578,0.0078000000000000005,554075.0,23.77,-204.8,-83.56,-10.35,56.03673741658094,93.04843105817838,154.77474440185694,3.52,0.14743716965949782,1.0,10.0,9.0,1.9486964599203103
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,10070000000.0,22.17,144.6750030517578,0.0052,141202.0,21.8,-200.09,-200.09,-200.09,48.21054394119713,48.21054394119713,48.21054394119713,4.965,-0.031673869134370536,1.0,10.0,9.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5550000000.0,17.87,99.97509765625,0.0019,104917.0,20.69,-87.4,-29.69,10.59,53.34771189120618,77.08481937484027,111.8117762384702,3.835,0.10774057687965066,1.0,10.0,9.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1240000000.0,15.19,49.54999923706055,0.006500000000000001,19742.0,17.4,-43.46,27.68,63.33,34.53859474271735,68.51177211437277,135.11577845587146,2.06,0.4296939859130209,0.92,10.0,9.5,8.728170063841336
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8070000000.0,16.09,349.2200012207031,0.0197,58305.0,34.39,-34.38,32.26,65.65,259.87777597675677,515.5011979479501,1016.6478476048587,15.5,0.4654010132131128,0.92,10.0,9.5,67.38759802618927
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2763190000000.0,23.28,372.3900146484375,0.0053,12477926.0,22.47,-147.5,-63.44,-7.48,150.45789580501992,227.8497327054051,346.48617051961037,10.74,0.12226568954799855,1.0,10.5,9.5,21.6744637390638
PLMR,Palomar Holdings Inc,Financial,Insurance - Property & Casualty,USA,3150000000.0,16.46,118.04000091552734,-0.0111,49749.0,20.19,-109.26,-6.07,46.01,56.4092991626028,111.28977724541305,218.62954205272374,3.805,0.5254193884425031,0.85,10.0,10.0,26.425520363720224
PTC,PTC Inc,Technology,Software - Application,USA,17070000000.0,20.96,143.38499450683594,0.006999999999999999,224615.0,15.88,-250.01,-78.38,8.84,40.96646735143882,80.38248469549191,157.29151489792406,2.885,0.3232467390277567,0.85,10.5,10.5,0.0
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25700000000.0,49.1,53.7599983215332,0.0001,852853.0,17.46,-317.59,-167.01,-69.97,12.873860817449101,20.133952802565876,31.629684597039216,0.925,0.13271785112236145,1.0,11.0,10.0,0.0
V,Visa Inc,Financial,Credit Services,USA,571230000000.0,28.4,299.95001220703125,-0.0084,3124376.0,15.34,-119.25,-38.55,12.7,136.80498283371546,216.4947507727366,343.59520585491924,9.004999999999999,0.13370669304847693,1.0,10.0,9.0,0.0
