Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4360000000.0,31.22,149.5399932861328,0.0046,353702.0,17.12,-175.44,-41.15,27.58,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,387160000.0,18.13,84.05999755859375,-0.0351,51910.0,21.71,-62.2,11.61,51.92,51.825734106119526,95.10372689921248,174.8514119659356,3.4349999999999996,0.18196301419934224,1.0,8.239045555308211
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,10240000000.0,22.54,146.7899932861328,-0.0286,907091.0,21.91,-252.22,-252.22,-252.22,41.67575586674017,41.67575586674017,41.67575586674017,4.965,-0.031673869134370536,1.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5890000000.0,18.94,105.56999969482422,-0.009399999999999999,763968.0,21.46,-132.62,-63.3,-13.97,45.38212933947962,64.64703564030904,92.62699396966345,3.835,0.10774057687965066,1.0,10.282909721925797
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8390000000.000001,16.73,362.44000244140625,-0.0258,226128.0,35.54,-58.71,18.67,58.27,228.36169117778908,445.6260891166324,868.5269431028505,15.5,0.4654010132131128,0.92,67.38759802618927
PRI,Primerica Inc,Financial,Insurance - Life,USA,8000000000.0,11.02,252.77000427246094,-0.0176,232779.0,20.63,-21.82,37.57,67.97,207.49606245968945,404.90880210299184,789.1687958015979,14.825,0.2391756401380145,0.874,56.62456006864758
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,61440000000.0,34.31,346.5799865722656,-0.01,763248.0,24.37,-181.8,-44.41,25.91,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.705061980406423
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1900000000.0,12.44,42.45000076293945,0.0204,1103715.0,15.87,-41.31,-35.19,-29.32,30.04133361908681,31.399346016746623,32.82649122297984,3.425,0.014029884092318312,1.0,11.510276254729845
V,Visa Inc,Financial,Credit Services,USA,602240000000.0,29.94,315.9700012207031,-0.0044,8378004.0,16.87,-172.49,-75.1,-11.86,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
