Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4320000000.0,30.89,147.94000244140625,-0.0032,875749.0,17.41,-172.49,-39.64,28.35,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,361770000.0,16.94,78.55000305175781,0.009399999999999999,99348.0,19.47,-51.57,17.41,55.08,51.825734106119526,95.10372689921248,174.8514119659356,3.4349999999999996,0.18196301419934224,1.0,8.239045555308211
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,31650000000.0,20.61,32.86000061035156,0.0105,13775154.0,20.26,-98.76,-33.58,10.77,16.532102616886647,24.599713421561752,36.82580146109112,1.3399999999999999,0.12057146804226226,1.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,71720000000.0,38.76,179.33999633789062,-0.0137,3836257.0,24.47,-278.28,-131.95,-41.47,47.4093039891739,77.31755754875371,126.77282536776585,3.52,0.14743716965949782,1.0,1.9397995471523022
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9740000000.0,21.43,139.50999450683594,0.004,1289038.0,21.21,-234.75,-234.75,-234.75,41.67575586674017,41.67575586674017,41.67575586674017,4.965,-0.031673869134370536,1.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5550000000.0,17.87,99.58999633789062,-0.013999999999999999,807727.0,20.81,-119.45,-54.05,-7.52,45.38212933947962,64.64703564030904,92.62699396966345,3.835,0.10774057687965066,1.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1190000000.0,14.62,47.560001373291016,-0.0048,226734.0,17.88,-56.71,19.7,58.8,30.35000540814487,59.225144747113745,115.4300324381853,2.06,0.4296939859130209,0.92,8.728170063841336
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,7600000000.0,15.15,328.2099914550781,0.0046,383199.0,33.79,-43.72,26.35,62.21,228.36169117778908,445.6260891166324,868.5269431028505,15.5,0.4654010132131128,0.92,67.38759802618927
PLMR,Palomar Holdings Inc,Financial,Insurance - Property & Casualty,USA,3120000000.0,16.28,116.9000015258789,0.006500000000000001,698445.0,19.85,-125.7,-15.66,40.66,51.79374471891755,101.07055951791504,196.98690503018184,3.805,0.5254193884425031,0.85,26.425520363720224
PRI,Primerica Inc,Financial,Insurance - Life,USA,7770000000.0,10.7,245.5500030517578,-0.006,529878.0,20.16,-18.34,39.36,68.88,207.49606245968945,404.90880210299184,789.1687958015979,14.825,0.2391756401380145,0.874,61.80440333587851
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,55780000000.0,31.14,314.6300048828125,-0.0199,940553.0,23.62,-155.82,-31.1,32.74,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.706325551292554
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25620000000.0,48.96,53.2599983215332,-0.015300000000000001,7548414.0,17.69,-348.58,-189.24,-85.4,11.872950937861203,18.41369958288502,28.72775971128352,0.925,0.13271785112236145,1.0,0.0
SMID,Smith-Midland Corp,Basic Materials,Building Materials,USA,139250000.0,11.85,26.25,-0.0463,21853.0,26.43,-317.01,-317.01,-317.01,6.294755915896488,6.294755915896488,6.294755915896488,0.7999999999999999,0.0,0.75,6.294755915896488
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1810000000.0,11.88,40.52000045776367,-0.0519,2373285.0,15.16,-34.88,-29.05,-23.44,30.04133361908681,31.399346016746623,32.82649122297984,3.425,0.014029884092318312,1.0,11.510276254729845
V,Visa Inc,Financial,Credit Services,USA,574890000000.0,28.58,301.6199951171875,0.0064,14383341.0,15.99,-160.11,-67.15,-6.78,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
