Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4310000000.0,30.82,147.7050018310547,-0.0052,74997.0,17.41,-172.06,-39.42,28.47,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,360300000.0,16.87,78.91000366210938,0.0053,21448.0,19.47,-52.26,17.03,54.87,51.825734106119526,95.10372689921248,174.8514119659356,3.4349999999999996,0.18196301419934224,1.0,8.239045555308211
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,31580000000.0,20.57,32.779998779296875,0.008100000000000001,2725763.0,20.26,-98.28,-33.25,10.99,16.532102616886647,24.599713421561752,36.82580146109112,1.3399999999999999,0.12057146804226226,1.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,72800000000.0,39.35,182.00999450683594,0.0012,775125.0,24.47,-283.91,-135.41,-43.57,47.4093039891739,77.31755754875371,126.77282536776585,3.52,0.14743716965949782,1.0,1.9397995471523022
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9710000000.0,21.36,139.0500030517578,0.001,136815.0,21.21,-233.65,-233.65,-233.65,41.67575586674017,41.67575586674017,41.67575586674017,4.965,-0.031673869134370536,1.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5550000000.0,17.86,100.71749877929688,-0.014199999999999999,79283.0,20.81,-121.93,-55.8,-8.73,45.38212933947962,64.64703564030904,92.62699396966345,3.835,0.10774057687965066,1.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1190000000.0,14.6,47.470001220703125,-0.006,27414.0,17.87,-56.41,19.85,58.88,30.35000540814487,59.225144747113745,115.4300324381853,2.06,0.4296939859130209,0.92,8.728170063841336
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,7660000000.0,15.27,327.8500061035156,0.0124,86016.0,33.79,-43.57,26.43,62.25,228.36169117778908,445.6260891166324,868.5269431028505,15.5,0.4654010132131128,0.92,67.38759802618927
PLMR,Palomar Holdings Inc,Financial,Insurance - Property & Casualty,USA,3120000000.0,16.26,116.48500061035156,0.0054,74773.0,19.85,-124.9,-15.25,40.87,51.79374471891755,101.07055951791504,196.98690503018184,3.805,0.5254193884425031,0.85,26.425520363720224
PRI,Primerica Inc,Financial,Insurance - Life,USA,7740000000.0,10.66,244.10499572753906,-0.0103,46383.0,20.16,-17.64,39.71,69.07,207.49606245968945,404.90880210299184,789.1687958015979,14.825,0.2391756401380145,0.874,61.80440333587851
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,56260000000.0,31.41,317.57000732421875,-0.0115,442647.0,23.62,-158.21,-32.32,32.11,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.706325551292554
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25740000000.0,49.18,53.380001068115234,-0.011000000000000001,695992.0,17.69,-349.59,-189.89,-85.81,11.872950937861203,18.41369958288502,28.72775971128352,0.925,0.13271785112236145,1.0,0.0
SMID,Smith-Midland Corp,Basic Materials,Building Materials,USA,145110000.0,12.35,27.3700008392334,-0.0062,3419.0,26.43,-334.81,-334.81,-334.81,6.294755915896488,6.294755915896488,6.294755915896488,0.7999999999999999,0.0,0.75,6.294755915896488
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1850000000.0,12.12,41.38999938964844,-0.032799999999999996,117049.0,15.16,-37.78,-31.82,-26.09,30.04133361908681,31.399346016746623,32.82649122297984,3.425,0.014029884092318312,1.0,11.510276254729845
V,Visa Inc,Financial,Credit Services,USA,573280000000.0,28.5,301.3599853515625,0.0034999999999999996,3091884.0,15.99,-159.89,-67.01,-6.69,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
