Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4300000000.0,30.73,147.1999969482422,-0.015600000000000001,170620.0,17.3,-171.13,-38.94,28.71,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,390370000.0,18.28,84.76000213623047,0.0083,111346.0,21.1,-63.55,10.88,51.52,51.825734106119526,95.10372689921248,174.8514119659356,3.4349999999999996,0.18196301419934224,1.0,8.239045555308211
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,34980000000.0,22.78,36.310001373291016,-0.0335,6487713.0,22.19,-119.63,-47.6,1.4,16.532102616886647,24.599713421561752,36.82580146109112,1.3399999999999999,0.12057146804226226,1.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,78490000000.0,42.42,196.27999877929688,-0.022400000000000003,1960991.0,25.83,-314.31,-154.04,-54.94,47.37563260849978,77.26264451072191,126.68278784974902,3.5175,0.14743716965949782,1.0,1.9397995471523022
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,10160000000.0,22.36,145.61000061035156,-0.008,722675.0,21.85,-249.39,-249.39,-249.39,41.67575586674017,41.67575586674017,41.67575586674017,4.965,-0.031673869134370536,1.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5830000000.0,18.74,104.4800033569336,-0.0103,412990.0,21.35,-130.22,-61.62,-12.8,45.38212933947962,64.64703564030904,92.62699396966345,3.835,0.10774057687965066,1.0,10.282909721925797
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8330000000.0,16.61,359.7799987792969,-0.0073,357715.0,35.19,-57.55,19.26,58.58,228.36169117778908,445.6260891166324,868.5269431028505,15.5,0.4654010132131128,0.92,67.38759802618927
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,61440000000.0,34.3,346.55999755859375,-0.0001,519136.0,24.46,-181.78,-44.4,25.91,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.706227234578856
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1910000000.0,12.49,42.619998931884766,0.004,651549.0,16.05,-41.87,-35.74,-29.83,30.04133361908681,31.399346016746623,32.82649122297984,3.425,0.014029884092318312,1.0,11.510276254729845
V,Visa Inc,Financial,Credit Services,USA,599310000000.0,29.8,314.42999267578125,-0.0049,5263689.0,16.84,-171.16,-74.25,-11.32,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
