Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
ADSK,Autodesk Inc,Technology,Software - Application,USA,47820000000.0,43.79,225.56,-0.0245,1164940.0,16.47
CLBT,Cellebrite DI Ltd,Technology,Software - Infrastructure,Israel,3420000000.0,45.6,14.29,-0.0239,807091.0,4.25
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,35880000000.0,22.73,37.06,-0.011399999999999999,2715117.0,23.54
CRAI,CRA International Inc,Industrials,Consulting Services,USA,1030000000.0,18.82,156.54,0.0085,23219.0,25.08
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77900000000.0,42.11,194.81,0.0070999999999999995,439330.0,26.06
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,4540000000.0,20.63,24.57,-0.0182,1529812.0,-7.23
EXLS,ExlService Holdings Inc,Technology,Information Technology Services,USA,4790000000.0,20.43,30.16,0.004,804515.0,12.76
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,6770000000.0,21.78,121.42,-0.0109,138046.0,23.19
IDT,IDT Corp,Communication Services,Telecom Services,USA,1230000000.0,15.24,49.02,0.0053,24474.0,20.75
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8620000000.0,17.11,370.75,-0.0015,205647.0,35.5
KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,13780000000.0,6.49,72.53,-0.0105,277997.0,-2.05
LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,21420000000.0,12.21,174.98,-0.008100000000000001,669009.0,11.3
NFLX,Netflix Inc,Communication Services,Entertainment,USA,322030000000.0,30.18,76.27,-0.0078000000000000005,20404201.0,23.66
ODD,ODDITY Tech Ltd,Consumer Defensive,Household & Personal Products,Israel,1600000000.0,15.59,27.88,-0.0070999999999999995,310997.0,-5.13
OSPN,OneSpan Inc,Technology,Software - Infrastructure,USA,422100000.0,7.52,11.1,-0.0125,107896.0,-1.65
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,5680000000.0,24.81,105.46,-0.015600000000000001,272154.0,14.09
RLI,RLI Corp,Financial,Insurance - Property & Casualty,USA,5620000000.0,14.01,61.18,-0.0070999999999999995,421836.0,10.59
V,Visa Inc,Financial,Credit Services,USA,609400000000.0,30.3,319.72,0.018000000000000002,3762425.0,16.52
