Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4280000000.0000005,30.59,147.80999755859375,-0.015600000000000001,108324.0,17.12,-172.25,-39.52,28.42,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,385960000.0,18.07,83.80999755859375,-0.0381,12684.0,21.71,-61.72,11.88,52.07,51.825734106119526,95.10372689921248,174.8514119659356,3.4349999999999996,0.18196301419934224,1.0,8.239045555308211
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,10170000000.0,22.39,144.80999755859375,-0.0353,75671.0,21.91,-247.47,-247.47,-247.47,41.67575586674017,41.67575586674017,41.67575586674017,4.965,-0.031673869134370536,1.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5670000000.0,18.24,102.0,-0.045899999999999996,137366.0,21.46,-124.76,-57.78,-10.12,45.38212933947962,64.64703564030904,92.62699396966345,3.835,0.10774057687965066,1.0,10.282909721925797
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8480000000.0,16.91,364.885009765625,-0.0154,38063.0,35.54,-59.78,18.12,57.99,228.36169117778908,445.6260891166324,868.5269431028505,15.5,0.4654010132131128,0.92,67.38759802618927
PRI,Primerica Inc,Financial,Insurance - Life,USA,7950000000.0,10.95,251.0500030517578,-0.0235,21995.0,20.63,-20.99,38.0,68.19,207.49606245968945,404.90880210299184,789.1687958015979,14.825,0.2391756401380145,0.874,56.62456006864758
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,60300000000.0,33.67,340.39990234375,-0.028300000000000002,237724.0,24.37,-176.77,-41.83,27.23,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.705061980406423
V,Visa Inc,Financial,Credit Services,USA,592600000000.0,29.46,311.7799987792969,-0.0203,1661256.0,16.87,-168.87,-72.78,-10.38,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
