Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,DCF_Margin_of_Safety_%
ADSK,Autodesk Inc,Technology,Software - Application,USA,53310000000.0,48.81,251.45,-0.0165,471626.0,18.74,18.5
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4260000000.0,30.18,144.56,0.001,148466.0,19.06,-14.65
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,38790000000.0,24.58,40.08,-0.0051,1313649.0,25.55,
CRVL,Corvel Corp,Financial,Insurance Brokers,USA,3480000000.0,33.49,67.96,-0.0127,43671.0,16.11,-47.49
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,75800000000.0,40.97,189.56,-0.0005,513272.0,25.7,-53.73
EXLS,ExlService Holdings Inc,Technology,Information Technology Services,USA,6100000000.0,26.02,38.42,-0.0048,451431.0,15.89,6.07
IDT,IDT Corp,Communication Services,Telecom Services,USA,1210000000.0,14.94,48.08,-0.0009,23549.0,20.81,25.0
NFLX,Netflix Inc,Communication Services,Entertainment,USA,351680000000.0,32.96,83.29,0.0016,16527007.0,24.7,-5.3
PAYC,Paycom Software Inc,Technology,Software - Application,USA,7510000000.0,16.59,133.43,-0.0068000000000000005,436073.0,16.06,53.22
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,7200000000.0,33.16,132.45,0.0022,177279.0,15.2,41.61
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,59190000000.0,33.6,332.7,-0.017,210523.0,26.47,-11.82
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,2250000000.0,12.56,48.26,-0.010700000000000001,53145.0,19.19,25.04
V,Visa Inc,Financial,Credit Services,USA,617330000000.0,31.46,322.83,-0.027000000000000003,4594012.0,17.1,-17.63
