Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,39200000000.0,11.83,429.95,-0.0011,370052.0,19.05
CALM,"Cal-Maine Foods, Inc",Consumer Defensive,Farm Products,USA,3710000000.0,5.45,78.24,-0.0092,331831.0,7.38
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,383110000.0,17.91,20.76,-0.0009,52134.0,20.73
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,31990000000.0,20.83,33.21,0.0111,3496014.0,20.44
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,67849999999.99999,35.88,170.19,-0.0087,885720.0,23.93
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,4190000000.0000005,19.04,22.67,-0.0169,821728.0,-7.99
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9930000000.0,21.85,142.28,0.0108,281500.0,21.72
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5350000000.0,17.21,95.91,0.0058,191661.0,20.19
IDT,IDT Corp,Communication Services,Telecom Services,USA,1240000000.0,15.15,49.27,-0.0036,30896.0,17.9
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8130000000.000001,16.21,351.07,0.015300000000000001,82835.0,34.55
KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,14110000000.0,6.92,74.26,-0.0183,316868.0,-1.74
LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,18570000000.0,11.57,153.84,-0.015,703677.0,9.82
MANH,"Manhattan Associates, Inc",Technology,Software - Application,USA,8180000000.0,37.92,136.61,0.0014000000000000002,172620.0,9.41
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2754980000000.0,23.21,371.01,-0.005,11214951.0,22.81
NVO,Novo Nordisk ADR,Healthcare,Drug Manufacturers - General,Denmark,124190000000.0,10.63,36.86,0.0052,9125869.0,5.15
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,5790000000.0,25.3,107.53,0.0068000000000000005,259007.0,12.38
PPC,Pilgrim's Pride Corp,Consumer Defensive,Packaged Foods,USA,8520000000.0,7.9,35.87,-0.029900000000000003,319772.0,6.75
PTC,PTC Inc,Technology,Software - Application,USA,17120000000.000002,21.01,143.84,-0.0036,242524.0,16.12
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,59350000000.0,33.14,334.77,-0.0104,368810.0,24.35
RLI,RLI Corp,Financial,Insurance - Property & Casualty,USA,5340000000.0,13.3,58.08,0.0009,219340.0,9.79
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25830000000.0,49.37,53.7,-0.0079,829724.0,17.83
SITC,SITE Centers Corp,Real Estate,REIT - Retail,USA,285390000.0,1.63,5.44,0.0055000000000000005,281155.0,4.19
SMID,Smith-Midland Corp,Basic Materials,Building Materials,USA,144710000.0,12.31,27.28,-0.033,6189.0,28.5
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1920000000.0,12.57,42.87,-0.0189,82852.0,18.63
TXRH,Texas Roadhouse Inc,Consumer Cyclical,Restaurants,USA,10640000000.0,26.47,161.35,-0.0118,423172.0,15.9
V,Visa Inc,Financial,Credit Services,USA,576550000000.0,28.66,302.49,-0.0028000000000000004,1758290.0,15.38
