Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4269999999.9999995,30.56,146.38999938964844,0.0144,334289.0,16.82,-169.64,-38.18,29.1,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,370480000.0,17.35,80.55000305175781,0.0017000000000000001,47695.0,20.5,-55.42,15.3,53.93,51.825734106119526,95.10372689921248,174.8514119659356,3.4349999999999996,0.18196301419934224,1.0,8.239045555308211
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,32810000000.000004,21.36,34.095001220703125,0.0025,4506765.0,20.97,-106.24,-38.6,7.42,16.532102616886647,24.599713421561752,36.82580146109112,1.3399999999999999,0.12057146804226226,1.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77660000000.0,41.98,194.22000122070312,0.0049,1372664.0,25.33,-309.67,-151.2,-53.2,47.4093039891739,77.31755754875371,126.77282536776585,3.52,0.14743716965949782,1.0,1.9397995471523022
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9750000000.0,21.45,139.4600067138672,-0.0013,373705.0,21.71,-234.63,-234.63,-234.63,41.67575586674017,41.67575586674017,41.67575586674017,4.965,-0.031673869134370536,1.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5380000000.0,17.31,96.77999877929688,0.0241,590370.0,19.98,-113.26,-49.71,-4.48,45.38212933947962,64.64703564030904,92.62699396966345,3.835,0.10774057687965066,1.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1210000000.0,14.88,48.599998474121094,-0.015700000000000002,102828.0,18.76,-60.13,17.94,57.9,30.35000540814487,59.225144747113745,115.4300324381853,2.06,0.4296939859130209,0.92,8.729173652005853
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8410000000.0,16.78,362.9800109863281,0.0042,84242.0,35.16,-58.95,18.55,58.21,228.36169117778908,445.6260891166324,868.5269431028505,15.5,0.4654010132131128,0.92,67.38759802618927
PRI,Primerica Inc,Financial,Insurance - Life,USA,7890000000.0,10.87,249.21499633789062,0.001,84512.0,20.53,-20.11,38.45,68.42,207.49606245968945,404.90880210299184,789.1687958015979,14.825,0.2391756401380145,0.874,61.80440333587851
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,58890000000.0,32.88,332.2300109863281,-0.006999999999999999,728496.0,24.21,-170.13,-38.43,28.97,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.706227234578856
V,Visa Inc,Financial,Credit Services,USA,584990000000.0,29.08,307.04998779296875,0.0014000000000000002,3462812.0,16.42,-164.79,-70.16,-8.7,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
