Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,DCF_Margin_of_Safety_%
ADSK,Autodesk Inc,Technology,Software - Application,USA,50600000000.0,46.33,238.68,0.0026,873561.0,18.76,42.48
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4420000000.0,31.32,150.02,0.028399999999999998,127510.0,17.88,10.96
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,39300000000.0,24.9,40.6,0.0181,2400653.0,25.05,41.05
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77990000000.0,42.16,195.04,0.0048,347992.0,26.25,-18.29
IDT,IDT Corp,Communication Services,Telecom Services,USA,1210000000.0,15.02,48.31,-0.0034000000000000002,25506.0,21.33,42.61
NFLX,Netflix Inc,Communication Services,Entertainment,USA,343500000000.0,32.19,81.36,0.006,19141757.0,25.1,0.64
PAYC,Paycom Software Inc,Technology,Software - Application,USA,7320000000.0,16.17,130.05,-0.011699999999999999,791903.0,19.56,66.03
QLYS,Qualys Inc,Technology,Software - Infrastructure,USA,4110000000.0000005,21.05,114.59,-0.10339999999999999,987645.0,22.1,54.55
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,59200000000.0,33.61,332.76,-0.006,302236.0,26.7,8.1
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,12930000000.0,30.5,26.73,0.0187,5573674.0,24.18,
V,Visa Inc,Financial,Credit Services,USA,624740000000.0,31.06,327.75,-0.0042,3172922.0,17.85,13.34
