Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Base_Discount_Rate,Discount_Rate,Floor_Value
AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,39610000000.0,11.95,433.5199890136719,0.001,181848.0,19.31,-7.43,22.02,43.62,403.5230658483286,555.9695011166793,768.9070054308378,30.375,0.09411381840681132,1.0,10.0,9.0,56.39265692950444
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,382730000.0,17.89,20.739999771118164,0.0038,35961.0,20.78,-105.32,-5.51,45.76,10.101418270197577,19.6576810598305,38.235927012306476,0.8587499999999999,0.8762493321275395,0.75,10.5,11.25,2.063229474353177
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,31820000000.0,20.72,32.900001525878906,-0.0109,2586940.0,20.75,-68.99,-11.81,26.28,19.46883051832541,29.423755243688426,44.62730395239895,1.3399999999999999,0.12057146804226226,1.0,10.0,9.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,69250000000.0,36.62,173.14999389648438,-0.0037,443538.0,24.09,-209.21,-86.22,-11.95,55.99693859739303,92.98234552475635,154.66481915725336,3.5175,0.14743716965949782,1.0,10.0,9.0,1.9486964599203103
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9830000000.0,21.63,140.93499755859375,-0.0033,137084.0,21.67,-192.33,-192.33,-192.33,48.21054394119713,48.21054394119713,48.21054394119713,4.965,-0.031673869134370536,1.0,10.0,9.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5300000000.0,17.05,95.19999694824219,0.0092,164074.0,20.04,-78.45,-23.5,14.86,53.34771189120618,77.08481937484027,111.8117762384702,3.835,0.10774057687965066,1.0,10.0,9.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1240000000.0,15.22,49.41999816894531,0.0217,57933.0,17.58,-43.09,27.87,63.42,34.53859474271735,68.51177211437277,135.11577845587146,2.06,0.4296939859130209,0.92,10.0,9.5,8.728170063841336
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,7990000000.0,15.93,344.30999755859375,0.0001,75460.0,34.52,-32.49,33.21,66.13,259.87777597675677,515.5011979479501,1016.6478476048587,15.5,0.4654010132131128,0.92,10.0,9.5,67.38759802618927
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2763110000000.0,23.28,372.0199890136719,-0.0036,9348369.0,22.8,-147.26,-63.27,-7.37,150.45789580501992,227.8497327054051,346.48617051961037,10.74,0.12226568954799855,1.0,10.5,9.5,21.6744637390638
PRI,Primerica Inc,Financial,Insurance - Life,USA,7990000000.0,11.0,252.42999267578125,-0.0059,66545.0,20.87,-11.7,43.38,71.18,225.98689331832807,445.84902473762986,875.8735125158059,14.825,0.2391756401380145,0.874,10.0,10.0,61.80440333587851
PTC,PTC Inc,Technology,Software - Application,USA,17090000000.0,20.97,143.4199981689453,0.0067,170833.0,16.14,-250.09,-78.42,8.82,40.96646735143882,80.38248469549191,157.29151489792406,2.885,0.3232467390277567,0.85,10.5,10.5,0.0
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,60100000000.0,33.56,338.69000244140625,-0.0029,185028.0,24.49,-152.85,-28.16,34.76,133.94864885793913,264.2669828383002,519.1543272675023,7.680000000000001,0.20743402271078204,1.0,11.0,10.0,6.641967599622332
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,26070000000.0,49.81,54.099998474121094,0.004699999999999999,625286.0,17.72,-320.23,-168.7,-71.04,12.873860817449101,20.133952802565876,31.629684597039216,0.925,0.13271785112236145,1.0,11.0,10.0,0.0
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1940000000.0,12.73,43.310001373291016,-0.0077,90691.0,18.12,-34.11,-28.18,-22.47,32.29363893200323,33.78959118819024,35.362769461753416,3.425,0.014029884092318312,1.0,11.0,10.0,11.510276254729845
TXRH,Texas Roadhouse Inc,Consumer Cyclical,Restaurants,USA,10770000000.0,26.79,163.2899932861328,0.002,348307.0,15.92,-105.45,-22.07,27.69,79.47871235781398,133.76660780329237,225.81836193656724,5.32,0.1539308283214187,1.0,11.0,10.0,14.392109101552201
V,Visa Inc,Financial,Credit Services,USA,578450000000.0,28.76,303.32000732421875,0.0089,1721594.0,15.25,-121.72,-40.11,11.72,136.80498283371546,216.4947507727366,343.59520585491924,9.004999999999999,0.13370669304847693,1.0,10.0,9.0,0.0
