Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,DCF_Margin_of_Safety_%
ADSK,Autodesk Inc,Technology,Software - Application,USA,51720000000.0,47.36,243.94,0.0022,1256802.0,18.81,41.27
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4410000000.0,31.24,149.65,0.0229,261256.0,17.74,10.82
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,38760000000.0,24.56,40.04,-0.003,3096061.0,25.36,
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,78040000000.0,42.18,195.16,0.0132,541586.0,26.28,-18.33
IDT,IDT Corp,Communication Services,Telecom Services,USA,1230000000.0,15.29,49.18,0.008100000000000001,31373.0,21.29,0.82
NFLX,Netflix Inc,Communication Services,Entertainment,USA,345820000000.0,32.41,81.9,0.0218,32196032.0,25.41,24.09
PAYC,Paycom Software Inc,Technology,Software - Application,USA,7450000000.0,16.45,132.36,0.0194,585308.0,18.51,
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,6940000000.0,31.97,127.69,0.0083,377688.0,17.1,58.37
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,60080000000.0,34.1,337.68,-0.0049,255219.0,26.15,6.87
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,13140000000.0,31.0,27.17,-0.0037,10409525.0,24.66,63.83
