Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Base_Discount_Rate,Discount_Rate,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4420000000.0,31.61,151.97999572753906,0.0225,141544.0,17.2,-157.03,-30.28,33.68,59.129259031013696,116.65597984614651,229.17148441436024,3.6850000000000005,0.2845243994955844,0.92,10.5,10.0,9.74649846111923
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,364190000.0,17.02,19.850000381469727,0.0178,102567.0,19.92,66.29,81.91,90.27,58.876533512374515,109.73162207753997,204.09826585089547,3.4349999999999996,0.18196301419934224,1.0,10.5,9.5,2.063229474353177
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,31980000000.0,20.83,33.20000076293945,0.0181,3575159.0,20.42,-70.53,-12.83,25.61,19.46883051832541,29.423755243688426,44.62730395239895,1.3399999999999999,0.12057146804226226,1.0,10.0,9.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,67030000000.0,35.45,168.52999877929688,-0.0031,1217972.0,23.74,-200.75,-81.12,-8.89,56.03673741658094,93.04843105817838,154.77474440185694,3.52,0.14743716965949782,1.0,10.0,9.0,1.9486964599203103
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,10050000000.0,22.11,143.91000366210938,0.0206,305806.0,21.58,-198.5,-198.5,-198.5,48.21054394119713,48.21054394119713,48.21054394119713,4.965,-0.031673869134370536,1.0,10.0,9.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5580000000.0,17.96,99.57499694824219,0.0225,225659.0,20.5,-86.65,-29.18,10.94,53.34771189120618,77.08481937484027,111.8117762384702,3.835,0.10774057687965066,1.0,10.0,9.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1240000000.0,15.17,49.435001373291016,0.0064,75932.0,17.38,-43.13,27.84,63.41,34.53859474271735,68.51177211437277,135.11577845587146,2.06,0.4296939859130209,0.92,10.0,9.5,8.728170063841336
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,7900000000.0,15.75,340.8999938964844,0.0129,150338.0,34.19,-31.18,33.87,66.47,259.87777597675677,515.5011979479501,1016.6478476048587,15.5,0.4654010132131128,0.92,10.0,9.5,67.38759802618927
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2749970000000.0,23.17,371.2250061035156,0.0317,24609312.0,22.09,-146.73,-62.93,-7.14,150.45789580501992,227.8497327054051,346.48617051961037,10.74,0.12226568954799855,1.0,10.5,9.5,21.6744637390638
PRI,Primerica Inc,Financial,Insurance - Life,USA,7920000000.0,10.9,249.5399932861328,0.012199999999999999,61030.0,20.4,-10.42,44.03,71.51,225.98689331832807,445.84902473762986,875.8735125158059,14.825,0.2391756401380145,0.874,10.0,10.0,61.80440333587851
PTC,PTC Inc,Technology,Software - Application,USA,16940000000.000002,20.79,142.6199951171875,0.0195,405186.0,15.65,-248.14,-77.43,9.33,40.96646735143882,80.38248469549191,157.29151489792406,2.885,0.3232467390277567,0.85,10.5,10.5,0.0
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,59750000000.0,33.36,338.30999755859375,0.03,993962.0,24.01,-152.57,-28.02,34.83,133.94864885793913,264.2669828383002,519.1543272675023,7.680000000000001,0.20743402271078204,1.0,11.0,10.0,6.663587250814041
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25670000000.0,49.04,53.57500076293945,0.0058,1727101.0,17.38,-316.15,-166.09,-69.38,12.873860817449101,20.133952802565876,31.629684597039216,0.925,0.13271785112236145,1.0,11.0,10.0,0.0
V,Visa Inc,Financial,Credit Services,USA,576020000000.0,28.64,302.3900146484375,0.0089,5606017.0,15.23,-121.04,-39.68,11.99,136.80498283371546,216.4947507727366,343.59520585491924,9.004999999999999,0.13370669304847693,1.0,10.0,9.0,0.0
