Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Base_Discount_Rate,Discount_Rate,Floor_Value
AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,41920000000.0,12.71,461.8450012207031,-0.0127,205155.0,19.54,-14.45,16.93,39.93,403.5230658483286,555.9695011166793,768.9070054308378,30.375,0.09411381840681132,1.0,10.0,9.0,56.39265692950444
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,32220000000.0,20.98,33.3849983215332,0.0027,2752272.0,20.26,-71.48,-13.46,25.19,19.46883051832541,29.423755243688426,44.62730395239895,1.3399999999999999,0.12057146804226226,1.0,10.0,9.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,71150000000.0,37.53,177.4949951171875,0.0078000000000000005,533075.0,24.1,-216.97,-90.89,-14.76,55.99693859739303,92.98234552475635,154.66481915725336,3.5175,0.14743716965949782,1.0,10.0,9.0,1.9484276373316582
PTC,PTC Inc,Technology,Software - Application,USA,16300000000.0,20.01,137.1649932861328,0.0032,540734.0,15.13,-234.82,-70.64,12.8,40.96646735143882,80.38248469549191,157.29151489792406,2.885,0.3232467390277567,0.85,10.5,10.5,0.0
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,26280000000.0,50.12,54.5,0.0026,908945.0,17.75,-323.34,-170.69,-72.31,12.873860817449101,20.133952802565876,31.629684597039216,0.925,0.13271785112236145,1.0,11.0,10.0,0.0
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1930000000.0,12.66,43.18000030517578,-0.0177,114282.0,18.03,-33.71,-27.79,-22.11,32.29363893200323,33.78959118819024,35.362769461753416,3.425,0.014029884092318312,1.0,11.0,10.0,11.510276254729845
TXRH,Texas Roadhouse Inc,Consumer Cyclical,Restaurants,USA,10560000000.0,26.28,160.2100067138672,-0.0175,490206.0,16.16,-101.58,-19.77,29.05,79.47871235781398,133.76660780329237,225.81836193656724,5.32,0.1539308283214187,1.0,11.0,10.0,14.440341390223717
V,Visa Inc,Financial,Credit Services,USA,602550000000.0,29.96,316.42999267578125,0.0007000000000000001,1980612.0,15.32,-131.3,-46.16,7.91,136.80498283371546,216.4947507727366,343.59520585491924,9.004999999999999,0.13370669304847693,1.0,10.0,9.0,0.0
