Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4250000000.0,30.41,146.24000549316406,-0.0232,236324.0,16.99,-169.36,-38.04,29.18,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,63260000000.0,35.32,357.6600036621094,-0.0227,432136.0,25.54,-190.81,-49.02,23.54,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.705061980406423
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1970000000.0,12.94,44.2599983215332,-0.0338,715159.0,17.15,10.46,54.11,76.46,49.429256380740796,96.45648574105175,187.99405768452021,3.355,0.33860577466718333,0.92,10.362725587014165
V,Visa Inc,Financial,Credit Services,USA,607810000000.0,30.22,319.6400146484375,-0.0049,4866004.0,16.93,-175.65,-77.14,-13.16,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
