Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4360000000.0,31.19,149.37,0.0040999999999999995,109325.0,16.96
KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,13920000000.0,6.56,73.25,-0.0195,584764.0,-1.86
LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,21190000000.0,12.08,173.07,-0.0069,1369852.0,10.89
NVO,Novo Nordisk ADR,Healthcare,Drug Manufacturers - General,Denmark,129110000000.00002,11.05,38.32,0.0453,19703474.0,4.7
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,2060000000.0,13.52,46.13,0.0027,309267.0,17.23
V,Visa Inc,Financial,Credit Services,USA,613790000000.0,30.52,322.03,0.0037,3226011.0,16.94
