Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Base_Discount_Rate,Discount_Rate,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4290000000.0,30.69,146.23500061035156,-0.0276,204632.0,17.37,-147.31,-25.36,36.19,59.129259031013696,116.65597984614651,229.17148441436024,3.6850000000000005,0.2845243994955844,0.92,10.5,10.0,9.74649846111923
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,364650000.0,17.04,19.75,-0.012,92685.0,31.09,66.46,82.0,90.32,58.876533512374515,109.73162207753997,204.09826585089547,3.4349999999999996,0.18196301419934224,1.0,10.5,9.5,2.063229474353177
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,31390000000.0,20.45,32.439998626708984,-0.013300000000000001,3924757.0,20.39,-66.63,-10.25,27.31,19.46883051832541,29.423755243688426,44.62730395239895,1.3399999999999999,0.12057146804226226,1.0,10.0,9.0,7.112615517052889
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9730000000.0,21.42,138.6199951171875,-0.0118,349641.0,21.52,-187.53,-187.53,-187.53,48.21054394119713,48.21054394119713,48.21054394119713,4.965,-0.031673869134370536,1.0,10.0,9.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5300000000.0,17.06,94.80999755859375,-0.0252,258487.0,20.46,-77.72,-22.99,15.21,53.34771189120618,77.08481937484027,111.8117762384702,3.835,0.10774057687965066,1.0,10.0,9.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1190000000.0,14.6,47.47999954223633,-0.0108,117598.0,17.05,-37.47,30.7,64.86,34.53859474271735,68.51177211437277,135.11577845587146,2.06,0.4296939859130209,0.92,10.0,9.5,8.728170063841336
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,7630000000.0,15.22,327.6549987792969,-0.0166,142583.0,34.14,-26.08,36.44,67.77,259.87777597675677,515.5011979479501,1016.6478476048587,15.5,0.4654010132131128,0.92,10.0,9.5,67.38759802618927
META,Meta Platforms Inc,Communication Services,Internet Content & Information,USA,1332660000000.0,22.43,525.9299926757812,-0.0378,24109965.0,16.86,-119.05,-10.43,44.01,240.09353238626807,476.2565906202998,939.2514308194563,14.32,0.2010990764322398,0.92,10.0,9.5,59.77872482024375
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2655150000000.0,22.37,357.1199951171875,-0.023,27341023.0,22.49,-137.36,-56.73,-3.07,150.45789580501992,227.8497327054051,346.48617051961037,10.74,0.12226568954799855,1.0,10.5,9.5,21.6744637390638
PLMR,Palomar Holdings Inc,Financial,Insurance - Property & Casualty,USA,3150000000.0,16.45,117.93499755859375,-0.026099999999999998,74039.0,20.37,-109.07,-5.97,46.06,56.4092991626028,111.28977724541305,218.62954205272374,3.805,0.5254193884425031,0.85,10.0,10.0,26.425520363720224
PRI,Primerica Inc,Financial,Insurance - Life,USA,7840000000.0,10.79,245.7899932861328,-0.0245,64126.0,20.37,-8.76,44.87,71.94,225.98689331832807,445.84902473762986,875.8735125158059,14.825,0.2391756401380145,0.874,10.0,10.0,61.80440333587851
PTC,PTC Inc,Technology,Software - Application,USA,16430000000.0,20.16,137.6999969482422,-0.0414,968082.0,15.91,-236.13,-71.31,12.46,40.96646735143882,80.38248469549191,157.29151489792406,2.885,0.3232467390277567,0.85,10.5,10.5,0.0
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,56420000000.0,31.5,316.7799987792969,-0.0165,393649.0,23.76,-136.49,-19.87,38.98,133.94864885793913,264.2669828383002,519.1543272675023,7.680000000000001,0.20743402271078204,1.0,11.0,10.0,6.663587250814041
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25320000000.0,48.38,52.53499984741211,-0.0034999999999999996,1179523.0,17.18,-308.07,-160.93,-66.09,12.873860817449101,20.133952802565876,31.629684597039216,0.925,0.13271785112236145,1.0,11.0,10.0,0.0
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1910000000.0,12.54,42.689998626708984,0.013000000000000001,235117.0,15.78,-32.19,-26.34,-20.72,32.29363893200323,33.78959118819024,35.362769461753416,3.425,0.014029884092318312,1.0,11.0,10.0,11.510276254729845
TXRH,Texas Roadhouse Inc,Consumer Cyclical,Restaurants,USA,10530000000.0,26.2,159.8300018310547,-0.039900000000000005,765617.0,16.23,-101.1,-19.48,29.22,79.47871235781398,133.76660780329237,225.81836193656724,5.32,0.1539308283214187,1.0,11.0,10.0,14.392109101552201
