Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4390000000.0,31.4,149.7949981689453,0.0103,247489.0,17.12,-175.91,-41.39,27.45,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,385830000.0,18.06,83.5199966430664,-0.0384,39950.0,21.71,-61.16,12.18,52.23,51.825734106119526,95.10372689921248,174.8514119659356,3.4349999999999996,0.18196301419934224,1.0,8.239045555308211
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,10290000000.0,22.65,147.25,-0.0242,516611.0,21.91,-253.32,-253.32,-253.32,41.67575586674017,41.67575586674017,41.67575586674017,4.965,-0.031673869134370536,1.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5920000000.0,19.03,105.44499969482422,-0.0044,592613.0,21.46,-132.35,-63.11,-13.84,45.38212933947962,64.64703564030904,92.62699396966345,3.835,0.10774057687965066,1.0,10.282909721925797
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8470000000.000001,16.89,363.2900085449219,-0.0169,121720.0,35.54,-59.09,18.48,58.17,228.36169117778908,445.6260891166324,868.5269431028505,15.5,0.4654010132131128,0.92,67.38759802618927
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,61540000000.0,34.36,346.4049987792969,-0.0085,614192.0,24.37,-181.66,-44.34,25.94,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.705061980406423
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1890000000.0,12.38,42.349998474121094,0.015700000000000002,738414.0,15.87,-40.97,-34.88,-29.01,30.04133361908681,31.399346016746623,32.82649122297984,3.425,0.014029884092318312,1.0,11.510276254729845
V,Visa Inc,Financial,Credit Services,USA,601960000000.0,29.93,315.7449951171875,-0.0048,5123640.0,16.87,-172.29,-74.98,-11.78,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
