Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4250000000.0,30.43,145.6750030517578,0.0102,169078.0,16.82,-168.32,-37.5,29.45,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,371220000.0,17.38,80.58999633789062,0.0037,29167.0,20.5,-55.5,15.26,53.91,51.825734106119526,95.10372689921248,174.8514119659356,3.4349999999999996,0.18196301419934224,1.0,8.239045555308211
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,32810000000.000004,21.37,33.994998931884766,0.0026,1940959.0,20.97,-105.63,-38.19,7.69,16.532102616886647,24.599713421561752,36.82580146109112,1.3399999999999999,0.12057146804226226,1.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77260000000.0,41.76,193.0749969482422,-0.0003,452043.0,25.33,-307.25,-149.72,-52.3,47.4093039891739,77.31755754875371,126.77282536776585,3.52,0.14743716965949782,1.0,1.9397995471523022
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9810000000.0,21.59,140.0800018310547,0.0049,99813.0,21.71,-236.12,-236.12,-236.12,41.67575586674017,41.67575586674017,41.67575586674017,4.965,-0.031673869134370536,1.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5440000000.0,17.5,97.33000183105469,0.0353,291498.0,19.98,-114.47,-50.56,-5.08,45.38212933947962,64.64703564030904,92.62699396966345,3.835,0.10774057687965066,1.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1220000000.0,14.98,48.685001373291016,-0.0088,44828.0,18.76,-60.41,17.8,57.82,30.35000540814487,59.225144747113745,115.4300324381853,2.06,0.4296939859130209,0.92,8.729173652005853
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8359999999.999999,16.67,360.3599853515625,-0.0021,36842.0,35.16,-57.8,19.13,58.51,228.36169117778908,445.6260891166324,868.5269431028505,15.5,0.4654010132131128,0.92,67.38759802618927
PRI,Primerica Inc,Financial,Insurance - Life,USA,7870000000.0,10.84,248.1750030517578,-0.0017000000000000001,25050.0,20.53,-19.6,38.71,68.55,207.49606245968945,404.90880210299184,789.1687958015979,14.825,0.2391756401380145,0.874,61.80440333587851
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,59210000000.0,33.06,332.510009765625,-0.0017000000000000001,266360.0,24.21,-170.36,-38.55,28.91,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.706227234578856
V,Visa Inc,Financial,Credit Services,USA,586170000000.0,29.14,306.8146057128906,0.0034000000000000002,1509163.0,16.42,-164.59,-70.03,-8.62,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
