Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4370000000.0,31.24,149.41000366210938,-0.0184,138310.0,17.29,-175.2,-41.03,27.64,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5950000000.0,19.13,107.05000305175781,0.016,71998.0,21.28,-135.89,-65.59,-15.57,45.38212933947962,64.64703564030904,92.62699396966345,3.835,0.10774057687965066,1.0,10.282909721925797
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,2109999999.9999998,13.28,45.2400016784668,-0.0055000000000000005,56061.0,17.53,8.48,53.1,75.94,49.429256380740796,96.45648574105175,187.99405768452021,3.355,0.33860577466718333,0.92,10.362725587014165
V,Visa Inc,Financial,Credit Services,USA,605540000000.0,30.11,318.82501220703125,-0.0076,1601089.0,16.6,-174.95,-76.69,-12.87,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
