Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4370000000.0,31.24,149.62,-0.0148,49347.0,17.7
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,365050000.0,17.09,79.26,-0.0132,42642.0,19.96
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,33150000000.0,21.59,34.42,0.0158,1787885.0,20.68
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77660000000.0,41.97,194.21,0.0076,261957.0,25.22
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,4600000000.0,20.89,24.88,0.011699999999999999,620152.0,-7.39
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9790000000.0,21.54,140.23,0.0052,117394.0,21.27
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5690000000.0,18.3,102.02,0.05,122660.0,20.35
IDT,IDT Corp,Communication Services,Telecom Services,USA,1210000000.0,14.87,48.36,0.0115,36652.0,17.68
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8480000000.0,16.91,366.18,0.021,22744.0,35.04
KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,13900000000.0,6.81,73.13,0.0196,171493.0,-2.26
LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,19920000000.0,11.35,162.7,0.0174,921173.0,10.26
NVO,Novo Nordisk ADR,Healthcare,Drug Manufacturers - General,Denmark,130330000000.00002,11.15,38.69,0.0027,4894221.0,5.58
PPC,Pilgrim's Pride Corp,Consumer Defensive,Packaged Foods,USA,8890000000.0,8.25,37.44,0.0189,127320.0,6.94
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,59900000000.0,33.44,337.87,0.0105,196421.0,24.01
V,Visa Inc,Financial,Credit Services,USA,592360000000.0,29.45,310.79,0.0022,1730457.0,16.25
