Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4440000000.0,31.73,152.0,-0.026699999999999998,197436.0,17.76
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,4510000000.0,20.49,24.4,-0.0279,1275717.0,-7.2
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5850000000.0,18.81,104.86,-0.0301,474698.0,21.64
KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,13430000000.0,6.33,70.66,-0.0089,378486.0,-2.32
MANH,"Manhattan Associates, Inc",Technology,Software - Application,USA,8070000000.0,37.42,134.82,-0.034300000000000004,391947.0,9.1
NVO,Novo Nordisk ADR,Healthcare,Drug Manufacturers - General,Denmark,126100000000.0,10.79,37.43,-0.0051,17410640.0,5.75
OSPN,OneSpan Inc,Technology,Software - Infrastructure,USA,417330000.0,7.44,10.97,-0.0348,464653.0,-1.77
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,5710000000.0,24.92,105.95,-0.0592,513705.0,14.06
QLYS,Qualys Inc,Technology,Software - Infrastructure,USA,3300000000.0,17.0,92.55,-0.0121,348777.0,13.43
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,2140000000.0000002,11.95,45.92,-0.002,461036.0,18.45
V,Visa Inc,Financial,Credit Services,USA,605490000000.0,30.1,317.67,0.0031,4255854.0,16.36
